Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
4/8/2022 16:00:00,160.84,4/8/2022 16:00:00,25.41,4/6/2022 17:26:00,3.47,4/8/2022 16:00:00,86.84,4/8/2022 16:00:00,86.84,4/8/2022 16:00:00,149.98,4/8/2022 16:00:00,128.15,4/8/2022 16:00:00,40.45
4/11/2022 16:00:00,160,4/11/2022 16:00:00,25.4,4/7/2022 17:26:00,3.51,4/11/2022 16:00:00,83.85,4/11/2022 16:00:00,83.85,4/11/2022 16:00:00,145.47,4/11/2022 16:00:00,124.98,4/11/2022 16:00:00,40.2
4/12/2022 16:00:00,159.5,4/12/2022 16:00:00,25.44,4/8/2022 17:26:00,3.54,4/12/2022 16:00:00,85.6,4/12/2022 16:00:00,85.6,4/12/2022 16:00:00,145.52,4/12/2022 16:00:00,125.04,4/12/2022 16:00:00,39.99
4/13/2022 16:00:00,169.66,4/13/2022 16:00:00,25.58,4/11/2022 17:26:00,3.5,4/13/2022 16:00:00,86.81,4/13/2022 16:00:00,86.81,4/13/2022 16:00:00,147.15,4/13/2022 16:00:00,127.49,4/13/2022 16:00:00,40.43
4/14/2022 16:00:00,165.49,4/14/2022 16:00:00,25.2,4/12/2022 17:26:00,3.49,4/14/2022 16:00:00,87.83,4/14/2022 16:00:00,87.83,4/14/2022 16:00:00,145.02,4/14/2022 16:00:00,133.46,4/14/2022 16:00:00,38.41
4/18/2022 16:00:00,154.75,4/18/2022 16:00:00,25.38,4/13/2022 17:26:00,3.47,4/18/2022 16:00:00,88.55,4/18/2022 16:00:00,88.55,4/18/2022 16:00:00,145.04,4/18/2022 16:00:00,131.63,4/18/2022 16:00:00,37.59
4/19/2022 16:00:00,152.72,4/19/2022 16:00:00,25.01,4/14/2022 17:26:00,3.47,4/19/2022 16:00:00,87.76,4/19/2022 16:00:00,87.76,4/19/2022 16:00:00,150.35,4/19/2022 16:00:00,137.05,4/19/2022 16:00:00,39.04
4/20/2022 16:00:00,150.12,4/20/2022 16:00:00,25.25,4/19/2022 17:26:00,3.46,4/20/2022 16:00:00,87.96,4/20/2022 16:00:00,87.96,4/20/2022 16:00:00,152.67,4/20/2022 16:00:00,135.87,4/20/2022 16:00:00,37.25
4/21/2022 16:00:00,144.5,4/21/2022 16:00:00,24.22,4/20/2022 17:26:00,3.48,4/21/2022 16:00:00,87.03,4/21/2022 16:00:00,87.03,4/21/2022 16:00:00,150.34,4/21/2022 16:00:00,135.46,4/21/2022 16:00:00,35.79
4/22/2022 16:00:00,140.34,4/22/2022 16:00:00,23.73,4/21/2022 17:26:00,3.55,4/22/2022 16:00:00,85.13,4/22/2022 16:00:00,85.13,4/22/2022 16:00:00,149.76,4/22/2022 16:00:00,129.07,4/22/2022 16:00:00,33.69
4/25/2022 16:00:00,150.41,4/25/2022 16:00:00,22.73,4/22/2022 17:26:00,3.48,4/25/2022 16:00:00,82.26,4/25/2022 16:00:00,82.26,4/25/2022 16:00:00,151.56,4/25/2022 16:00:00,127.94,4/25/2022 16:00:00,33.33
4/26/2022 16:00:00,145.79,4/26/2022 16:00:00,22.37,4/25/2022 17:26:00,3.39,4/26/2022 16:00:00,82.29,4/26/2022 16:00:00,82.29,4/26/2022 16:00:00,149.61,4/26/2022 16:00:00,120.52,4/26/2022 16:00:00,31.43
4/27/2022 16:00:00,142.43,4/27/2022 16:00:00,22.24,4/26/2022 17:26:00,3.32,4/27/2022 16:00:00,84.64,4/27/2022 16:00:00,84.64,4/27/2022 16:00:00,148.24,4/27/2022 16:00:00,121.24,4/27/2022 16:00:00,31.42
4/28/2022 16:00:00,142.52,4/28/2022 16:00:00,22.43,4/27/2022 17:26:00,3.3,4/28/2022 16:00:00,87.2,4/28/2022 16:00:00,87.2,4/28/2022 16:00:00,151.5,4/28/2022 16:00:00,127.05,4/28/2022 16:00:00,32.28
4/29/2022 16:00:00,134.41,4/29/2022 16:00:00,22.31,4/28/2022 17:26:00,3.31,4/29/2022 16:00:00,85.25,4/29/2022 16:00:00,85.25,4/29/2022 16:00:00,146.12,4/29/2022 16:00:00,124.7,4/29/2022 16:00:00,33.56
5/2/2022 16:00:00,142.08,5/2/2022 16:00:00,22.16,4/29/2022 17:26:00,3.47,5/2/2022 16:00:00,86.41,5/2/2022 16:00:00,86.41,5/2/2022 16:00:00,141.28,5/2/2022 16:00:00,126.08,5/2/2022 16:00:00,36.23
5/3/2022 16:00:00,146.54,5/3/2022 16:00:00,22.41,5/2/2022 17:26:00,3.43,5/3/2022 16:00:00,88.19,5/3/2022 16:00:00,88.19,5/3/2022 16:00:00,142.26,5/3/2022 16:00:00,122.86,5/3/2022 16:00:00,37.78
5/4/2022 16:00:00,155.05,5/4/2022 16:00:00,23.19,5/3/2022 17:26:00,3.45,5/4/2022 16:00:00,91.7,5/4/2022 16:00:00,91.7,5/4/2022 16:00:00,144.66,5/4/2022 16:00:00,126.06,5/4/2022 16:00:00,39.1
5/5/2022 16:00:00,142.02,5/5/2022 16:00:00,22.56,5/4/2022 17:26:00,3.35,5/5/2022 16:00:00,90.31,5/5/2022 16:00:00,90.31,5/5/2022 16:00:00,141.36,5/5/2022 16:00:00,118.63,5/5/2022 16:00:00,36.43
5/6/2022 16:00:00,134.4,5/6/2022 16:00:00,22.42,5/5/2022 17:26:00,3.34,5/6/2022 16:00:00,91.69,5/6/2022 16:00:00,91.69,5/6/2022 16:00:00,141.08,5/6/2022 16:00:00,114.49,5/6/2022 16:00:00,34.95
5/9/2022 16:00:00,135.8,5/9/2022 16:00:00,21.49,5/6/2022 17:26:00,3.42,5/9/2022 16:00:00,84.46,5/9/2022 16:00:00,84.46,5/9/2022 16:00:00,133.38,5/9/2022 16:00:00,111.21,5/9/2022 16:00:00,33.54
