Moderna,Close,Gold,Close,Ethereum,Close,Bitcoin,Close,Crude Oil,Close,"Digital Realty Trust, Inc",Close,Nike,Close,"Overstock, Inc",Close
3/16/2020 16:00:00,26.49,3/16/2020 16:00:00,16.33,3/12/2020 17:26:00,5.05,3/18/2020 16:00:00,0.06,3/16/2020 16:00:00,34.49,3/16/2020 16:00:00,128.31,3/16/2020 16:00:00,66.79,3/16/2020 16:00:00,2.65
3/17/2020 16:00:00,28.18,3/17/2020 16:00:00,17.71,3/13/2020 17:26:00,5,3/19/2020 16:00:00,0.12,3/17/2020 16:00:00,36.81,3/17/2020 16:00:00,138.24,3/17/2020 16:00:00,69.84,3/17/2020 16:00:00,2.67
3/18/2020 16:00:00,31.58,3/18/2020 16:00:00,15.88,3/16/2020 17:26:00,4.58,3/20/2020 16:00:00,0.12,3/18/2020 16:00:00,33.12,3/18/2020 16:00:00,137.34,3/18/2020 16:00:00,68.04,3/18/2020 16:00:00,3.17
3/19/2020 16:00:00,28.27,3/19/2020 16:00:00,16.08,3/17/2020 17:26:00,4.41,3/23/2020 16:00:00,0.12,3/19/2020 16:00:00,34.43,3/19/2020 16:00:00,125.27,3/19/2020 16:00:00,70.34,3/19/2020 16:00:00,3.99
3/20/2020 16:00:00,28.2,3/20/2020 16:00:00,15.88,3/18/2020 17:26:00,4.27,3/24/2020 16:00:00,0.12,3/20/2020 16:00:00,32.74,3/20/2020 16:00:00,121.2,3/20/2020 16:00:00,67.45,3/20/2020 16:00:00,3.76
3/23/2020 16:00:00,26.57,3/23/2020 16:00:00,16.93,3/19/2020 17:26:00,4.2,3/25/2020 16:00:00,0.12,3/23/2020 16:00:00,31.45,3/23/2020 16:00:00,107.9,3/23/2020 16:00:00,62.8,3/23/2020 16:00:00,4.61
3/24/2020 16:00:00,25.82,3/24/2020 16:00:00,19.5,3/20/2020 17:26:00,4.35,3/26/2020 16:00:00,0.12,3/24/2020 16:00:00,35.44,3/24/2020 16:00:00,116.72,3/24/2020 16:00:00,72.33,3/24/2020 16:00:00,5.8
3/25/2020 16:00:00,27.13,3/25/2020 16:00:00,19.11,3/23/2020 17:26:00,4.59,3/27/2020 16:00:00,0.12,3/25/2020 16:00:00,37.29,3/25/2020 16:00:00,121.43,3/25/2020 16:00:00,79.01,3/25/2020 16:00:00,5.42
3/26/2020 16:00:00,27.94,3/26/2020 16:00:00,19.58,3/24/2020 17:26:00,5.2,3/30/2020 16:00:00,0.12,3/26/2020 16:00:00,38.82,3/26/2020 16:00:00,134.13,3/26/2020 16:00:00,84.3,3/26/2020 16:00:00,4.97
3/27/2020 16:00:00,30.05,3/27/2020 16:00:00,19.24,3/25/2020 17:26:00,5.16,3/31/2020 16:00:00,0.12,3/27/2020 16:00:00,36.95,3/27/2020 16:00:00,132.85,3/27/2020 16:00:00,83.23,3/27/2020 16:00:00,4.61
